CDMA band
0;800;860;877;894;34;815;832;849;45;
1;1900 PCS;1930;1960;1990;60;1850;1880;1910;80;
2;TACS;917;938.5;960;43;872;893.5;915;45;
3;JTACS;832;851;870;38;887;906;925;-55;
4;Korean PCS;1840;1855;1870;30;1750;1765;1780;90;
5;450;420;456.5;493;73;410;446.5;483;10;
6;2 GHz;2110;2140;2170;60;1920;1950;1980;190;
7;700 Upper;746;752;758;12;776;782;788;-30;
8;1800;1805;1842.5;1880;75;1710;1747.5;1785;95;
9;900;925;942.5;960;35;880;897.5;915;45;
10;Sec 800 MHz;851;895.5;940;89;806;853.5;901;39;
11;400 MHz PAMR;420;456.5;493;73;410;446.5;483;10;
12;800 MHz PAMR;915;918;921;6;870;873;876;45;
13;2.5 GHz IMT-2000 Ext;2620;2655;2690;70;2500;2535;2570;120;
14;US PCS 1.9 GHz;1930;1962.5;1995;65;1850;1882.5;1915;80;
15;AWS;2110;2132.5;2155;45;1710;1732.5;1755;400;
16;US 2.5 GHz;2624;2657;2690;66;2502;2535;2568;122;
18;700 PS;757;763;769;12;787;793;799;-30;
19;700 Lower;728;737;746;18;698;707;716;30;
20;1600 L-Band;1525;1542;1559;34;1626.5;1643.5;1660.5;-101.5;
21;2000 S-Band;2180;2190;2200;20;2000;2010;2020;180;
