GSM band
380 T-GSM;390.2;395;399.8;9.6;380.2;385;389.8;10;
410 T-GSM;420.2;425;429.8;9.6;410.2;415;419.8;10;
450;460.6;464;467.4;6.8;450.6;454;457.4;10;
480;489;492.4;495.8;6.8;479;482.4;485.8;10;
710;728.2;737.2;746.2;18;698.2;707.2;716.2;30;
750;747.2;755.2;763.2;16;777.2;785.2;793.2;-30;
810 T-GSM;851.2;858.7;866.2;15;806.2;813.7;821.2;45;
850;869.2;881.5;893.8;24.6;824.2;836.5;848.8;45;
900 P;935.2;947.5;959.8;24.6;890.2;902.5;914.8;45;
900 E;925.2;942.5;959.8;34.6;880.2;897.5;914.8;45;
900 R;921.2;940.5;959.8;38.6;876.2;895.5;914.8;45;
900 ER;918.2;939;959.8;41.6;873.2;894;914.8;45;
1800 DCS;1805.2;1842.5;1879.8;74.6;1710.2;1747.5;1784.8;95;
1900 PCS;1930.2;1960;1989.8;59.6;1850.2;1880;1909.8;80;
