id;country;mcc
1;Greece;202;
2;Netherlands;204;
3;Belgium;206;
4;France;208;
5;Monaco;212;
6;Andorra;213;
7;Spain;214;
8;Hungary;216;
9;Bosnia and Herzegovina;218;
10;Croatia;219;
11;Serbia and Montenegro;220;
12;Kosovo;221;
13;Italy;222;
14;Vatican City State;225;
15;Romania;226;
16;Switzerland;228;
17;Czech Republic;230;
18;Slovak Republic;231;
19;Austria;232;
20;United Kingdom of Great Britain and Northern Ireland;234;
21;Northern Ireland;235;
22;Denmark;238;
23;Sweden;240;
24;Norway;242;
25;Finland;244;
26;Lithuania;246;
27;Latvia;247;
28;Estonia;248;
29;Russian Federation;250;
30;Ukraine;255;
31;Belarus;257;
32;Moldova (Republic of);259;
33;Poland;260;
34;Germany;262;
35;Gibraltar;266;
36;Portugal;268;
37;Luxembourg;270;
38;Ireland;272;
39;Iceland;274;
40;Albania;276;
41;Malta;278;
42;Cyprus;280;
43;Georgia;282;
44;Armenia;283;
45;Bulgaria;284;
46;Turkey;286;
47;Faroe Islands;288;
48;Abkhazia;289;
49;Greenland;290;
50;San Marino;292;
51;Slovenia;293;
52;The Former Yugoslav Republic of Macedonia;294;
53;Liechtenstein;295;
54;Montenegro;297;
55;Canada;302;
56;Saint Pierre and Miquelon;308;
57;United States of America;310;
58;United States of America;311;
59;United States of America;312;
60;United States of America;313;
61;United States of America;314;
62;United States of America;315;
63;United States of America;316;
64;Puerto Rico (US);330;
65;United States Virgin Islands (US);332;
66;Mexico;334;
67;Jamaica;338;
68;Martinique;340;
69;Guadeloupe;341;
70;Barbados;342;
71;Antigua and Barbuda;344;
72;Cayman Islands;346;
73;British Virgin Islands;348;
74;Bermuda;350;
75;Grenada;352;
76;Montserrat;354;
77;Saint Kitts and Nevis;356;
78;Saint Lucia;358;
79;Saint Vincent and the Grenadines;360;
80;Netherlands Antilles;362;
81;Aruba (Netherlands);363;
82;Bahamas;364;
83;Anguilla;365;
84;Dominica (Commonwealth of);366;
85;Cuba;368;
86;Dominican Republic;370;
87;Haiti;372;
88;Trinidad and Tobago;374;
89;Turks and Caicos Islands (UK);376;
90;Azerbaijani Republic;400;
91;Kazakhstan;401;
92;Bhutan;402;
93;India;404;
94;India;405;
95;India;406;
96;Pakistan;410;
97;Afghanistan;412;
98;Sri Lanka;413;
99;Myanmar;414;
100;Lebanon;415;
101;Jordan;416;
102;Syrian Arab Republic;417;
103;Iraq;418;
104;Kuwait;419;
105;Saudi Arabia;420;
106;Yemen;421;
107;Oman;422;
108;United Arab Emirates;424;
109;Israel;425;
110;Bahrain;426;
111;Qatar;427;
112;Mongolia;428;
113;Nepal;429;
114;United Arab Emirates, Abu Dhabi;430;
115;United Arab Emirates, Dubai;431;
116;Iran (Islamic Republic of);432;
117;Uzbekistan;434;
118;Tajikistan;436;
119;Kyrgyz Republic;437;
120;Turkmenistan;438;
121;Japan;440;
122;Japan;441;
123;Korea, Republic of;450;
124;Viet Nam;452;
125;Hongkong, China;454;
126;Macao, China;455;
127;Cambodia;456;
128;Lao People's Democratic Republic;457;
129;China;460;
130;China;461;
131;Taiwan, China;466;
132;Korea, Democratic People's Republic of;467;
133;Bangladesh;470;
134;Maldives;472;
135;Malaysia;502;
136;Australia;505;
137;Indonesia;510;
138;Democratique Republic of Timor-Leste;514;
139;Philippines;515;
140;Thailand;520;
141;Singapore;525;
142;Brunei Darussalam;528;
143;New Zealand;530;
